いちのせせいはち                  一ノ瀬清八
やすながじろう                    安永次郎
あんようじたかのり                安用寺孝功
やすだのりお                      安田典生
やすだきよしはちろう              安田清八郎
あんどうまさひろ                  安藤昌弘
あんざいしょういち                安西勝一
あだちちあき                      安達千明
あだちりゅうた                    安達竜太
あだちりゅうた                    安達龍太
あじきふさこ                      安食総子
むねうちいわお                    宗内巌
むろおかかつひこ                  室岡克彦
むろたいお                        室田伊緒
むろたにさき                      室谷早紀
むろやゆき                        室谷由紀
みやしたかずや                    宮下和也
みやしたもりし                    宮下森資
みやはらやすいち                  宮原康一
みやはらようすけ                  宮原洋介
みやじはやと                      宮地隼人
みやさかゆきお                    宮坂幸雄
みやぎさいち                      宮城佐市
みやじまぜんべえ                  宮島善兵衛
みやざきいちろう                  宮崎一郎
みやざきひろぶみ                  宮崎博文
みやざきくにお                    宮崎国夫
みやざきひでお                    宮崎秀雄
みやじましげと                    宮嶋茂人
みやもとしるしさ                  宮本印佐
みやもとひろし                    宮本広志
みやもとこうじ                    宮本浩二
みやもとじゅん                    宮本淳
みやもとひでき                    宮本英樹
みやもとしげる                    宮本茂
みやもととうぞう                  宮本藤蔵
みやまつせきさぶろう              宮松関三郎
みやたけなおふみ                  宮武尚文
みやざわたくみ                    宮沢巧
みやづひろふみ                    宮津博史
みやづたかし                      宮津隆史
みやたてつじ                      宮田てつじ
みやたとしお                      宮田利男
みやたひろのり                    宮田博徳
みやたともかず                    宮田友和
みやたみのすけ                    宮田巳之助
みやたあつし                      宮田敦史
みやたあきら                      宮田暁
みやたすみはる                    宮田純治
みやのまなぶ                      宮野学
みやのまさひこ                    宮野政彦
とみおかえいさく                  富岡英作
とがしたかし                      富樫充
とみざわみきお                    富沢幹雄
てらしたのりこ                    寺下紀子
てらいまつさだ                    寺井松貞
てらおまさかず                    寺尾正和
てらしままさゆき                  寺嶋眞之
てらだけいざぶろう                寺田慶三郎
てらだあきお                      寺田昭夫
てらだうめきち                    寺田梅吉
てらだあさじろう                  寺田浅次郎
おぐらひさし                      小倉久史
#？                               小倉文之亟
こいでげんきち                    小出源吉
こさかひでお                      小坂英男
こぼりあきひろ                    小堀晃弘
こぼりせいいち                    小堀清一
こぼりあや                        小堀綾
こづつみいちぼし                  小堤一星
こでらあつひと                    小寺淳人
こやまゆうじろう                  小山友次郎
こやまきない                      小山喜内
こやまれお                        小山怜央
こじまかずひろ                    小島一宏
こじまあきらさとる                小島明悟
こじまおとうえもん                小島音右衛門
こがわしんうえもん                小川新右衛門
おがわこういち                    小川浩一
おがわさとし                      小川聡
おがわえいじ                      小川英二
おがわしおり                      小川詩織
おばたしゅんぶん                  小幡春分
こぐれかつひろ                    小暮克洋
こぐれとくお                      小暮得雄
こぐれつねお                      小暮恒男
こまつみか                        小松三香
こまつばらみちひろ                小松原道広
こまつていきち                    小松定吉
こまつうしのすけ                  小松牛之助
こまつすみお                      小松純夫
こばやししんいち                  小林伸市
こばやしけんじ                    小林健二
こばやしいさむせき                小林勇碩
こばやしたいち                    小林太一
こばやしこうざぶろう              小林孝三郎
こばやしひろし                    小林宏
こばやしさだくすのき              小林定楠
こばやしひろたく                  小林広卓
こばやしやすたろう                小林康太郎
こばやしいさおしゅん              小林庸俊
こばやしきょうじ                  小林恭二
こばやしけいこ                    小林恵子
こばやしさとる                    小林悟
こばやしよしゆきすけ              小林慶之助
こばやしはるほ                    小林春穂
こばやしあずましろう              小林東四郎
こばやしまさよし                  小林正美
こばやしともなお                  小林知直
こばやしすみお                    小林純夫
こばやしひろし                    小林裕士
こばやししかじろう                小林鹿次郎
おぐりよしたか                    小栗義孝
